POH,LXP,Paymaster,id,minitoolkitRank,trustlabsRank,address,balance,volume,fee,interactionCount,count_contract,bridge_count,bridge_volume_usd,nft_mint,days,weeks,months,firstTransactionDate,lastTransactionDate,zkliteInteractions,zkliteLastActivity
False,False,False,1,-,-,0xf5c9d989cffa66c26d1bfd0bf0a182f93e3510e4,0.07055857831422666,12.696294000000087,0.1709116588874058,2,2,0,0,0,1,1,1,31 day,31 day,-,-
False,False,False,2,-,-,0xe0200bdbb654aa691cab29a03a4cf81b41e843fe,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,3,-,-,0x6d2dd079238c3838e9b08885f470d35008d73938,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,4,-,-,0x71612015772bA710414B7E90D71eCDd894d9729f,76.680706200774,13.021846185374,6.8408413382400005e-06,1,1,0,0,0,0,0,0,34 day,34 day,-,-
False,False,False,5,-,-,0x999932D5866E0152EA5333ab72b7256965Bcb1c8,32.554600000000065,32.55460000000007,6.840636244260001e-06,1,1,0,0,0,0,0,0,42 day,42 day,-,-
False,False,False,6,-,-,0x7e25cb8adf2ceff43eb2096da220f452f47e7ff4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,7,-,-,0xbddCaDEB38c439EC6788BE4fd4edC25DA5eF5d2b,9.548461390114886,42.32098000000006,0.0004575241606104073,3,2,0,0,0,2,2,2,35 day,10 day,-,-
False,False,False,8,-,-,0xBAD01a04Cc9Ed7A4D8AF51BcaA7E9aCF26dc673B,26.043680000000062,26.043680000000062,6.8408413382400005e-06,1,1,0,0,0,0,0,0,36 day,36 day,-,-
False,False,False,9,-,-,0x252613Ecf3232dEe2c7d366EC404A5922619Ad8E,9.107175950397522,185.56122000000008,0.0006828615391017306,4,2,0,0,0,2,2,2,36 day,11 day,-,-
False,False,False,10,-,-,0x45e092142CE651d42778f0008D1D03e41194CD6f,24.6538264622,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,11,-,-,0xdbAeE7B46D722c196Db44fAAA355874E935F83Db,0.16241796356692087,4.88319,0.00022533805446154864,1,1,0,0,0,1,1,1,29 day,29 day,-,-
False,False,False,12,-,-,0x62439c30b3aa470C798f4b1fF7F1c6057541a5C0,6.836466000000007,6.836466000000007,0.34182330437533825,1,1,0,0,0,0,0,0,36 day,36 day,-,-
False,False,False,13,-,-,0x51Bd9cc40E397E43CbB35ADA738333785d482BF9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,14,-,-,0x6c00A1C234Cd8c9142B3FdF8375543A9809B3f12,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,15,-,-,0xC1F79Ed1dAD274885A617AE0CeeC172C7A1D931d,3.2554600000000624,3.2554600000000624,6.8408413382400005e-06,1,1,0,0,0,0,0,0,36 day,36 day,-,-
False,False,False,16,-,-,0xF35dA5E504a6463a2d632FAdDeA98Ad6017daDA8,16.277300000000064,16.277300000000064,6.8408413382400005e-06,1,1,0,0,0,0,0,0,36 day,36 day,-,-
False,False,False,17,-,-,0x5365E7ffAe830fEc28792d81299dB4bddcB84ff4,22.788220000000063,22.788220000000063,6.8408413382400005e-06,1,1,0,0,0,0,0,0,36 day,36 day,-,-
False,False,False,18,-,-,0x26a9455CdA31332EF609B204648543a81266ae0C,9.636141132609177,42.32098000000006,0.00023218317694454897,2,2,0,0,0,1,1,1,36 day,21 day,-,-
False,False,False,19,-,-,0xE27DD4D0a29273F48AA4691f81b29F996a9CEd3b,3.255460000000029,3.2554600000000296,0.34182330437533825,1,1,0,0,0,0,0,0,37 day,37 day,-,-
False,False,False,20,-,-,0xa70455fA71CC6f1eba5F6C3fF97d98E76bBA6c0b,2.991788543506553,9.766380000000009,0.3420486422044764,2,2,0,0,0,1,1,1,36 day,36 day,-,-
False,False,False,21,-,-,0x55999E17fC84e266eB185158a897C009ca723329,1.6277300000000618,1.6277300000000618,6.8408413382400005e-06,1,1,0,0,0,0,0,0,36 day,36 day,-,-
False,False,False,22,-,-,0xF9A0806cff4b84D161DFbf4aE7Bb9b9110D50fd6,8.5033591838,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,23,-,-,0x35607fE71F1F73ab21C23a381502fd4aE97Aea7a,32.554600000000065,32.55460000000007,6.8408413382400005e-06,1,1,0,0,0,0,0,0,37 day,37 day,-,-
False,False,False,24,-,-,0xe17ef730812d6863E3519081D748DC830Af7Aeb5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
