POH,LXP,Paymaster,id,minitoolkitRank,trustlabsRank,address,balance,volume,fee,interactionCount,count_contract,bridge_count,bridge_volume_usd,nft_mint,days,weeks,months,firstTransactionDate,lastTransactionDate,zkliteInteractions,zkliteLastActivity
False,False,False,1,-,198246,0xf5c9d989cffa66c26d1bfd0bf0a182f93e3510e4,22.634461282389985,650.7664540000295,0.10998800306640893,5,4,0,0,0,3,3,3,93 day,18 day,-,-
False,False,False,2,-,634732,0xe0200bdbb654aa691cab29a03a4cf81b41e843fe,4.641556335541719,3.255460000000059,8.8024561176435e-05,2,2,0,0,0,1,1,1,49 day,42 day,-,-
False,False,False,3,-,197172,0x6d2dd079238c3838e9b08885f470d35008d73938,351.4758282553686,931.3187413400001,0.31670443147681465,4,3,0,0,0,2,2,2,93 day,43 day,-,-
False,False,False,4,-,563075,0x71612015772bA710414B7E90D71eCDd894d9729f,32.264854190874416,162.77300000000005,8.800097341545901e-05,2,2,0,0,0,1,1,1,42 day,42 day,-,-
False,False,False,5,-,548228,0x999932D5866E0152EA5333ab72b7256965Bcb1c8,53.331851005830934,68.36466000000004,8.80263207851196e-05,2,2,0,0,0,1,1,1,42 day,42 day,-,-
False,False,False,6,-,622601,0x7e25cb8adf2ceff43eb2096da220f452f47e7ff4,2.933827598572161,0.0,8.116271159303736e-05,1,1,0,0,0,1,1,1,42 day,42 day,-,-
False,False,False,7,-,695937,0xbddCaDEB38c439EC6788BE4fd4edC25DA5eF5d2b,29.29914000000006,29.29914000000006,6.840431150280001e-06,1,1,0,0,0,0,0,0,35 day,35 day,-,-
False,False,False,8,-,636348,0xBAD01a04Cc9Ed7A4D8AF51BcaA7E9aCF26dc673B,14.71790938526085,0.0,8.1184540214115e-05,1,1,0,0,0,1,1,1,35 day,35 day,-,-
False,False,False,9,-,632415,0x252613Ecf3232dEe2c7d366EC404A5922619Ad8E,32.32512685811785,48.83190000000006,8.80309843292334e-05,2,2,0,0,0,1,1,1,36 day,36 day,-,-
False,False,False,10,-,616318,0x45e092142CE651d42778f0008D1D03e41194CD6f,3.169948603103512,22.46267400002943,8.802051594183902e-05,2,2,0,0,0,2,1,1,42 day,36 day,-,-
False,False,False,11,-,473331,0xdbAeE7B46D722c196Db44fAAA355874E935F83Db,1.320810586649119,26.043680000000062,0.0005059298091494873,7,4,0,0,0,2,2,2,49 day,42 day,-,-
False,False,False,12,-,257905,0x62439c30b3aa470C798f4b1fF7F1c6057541a5C0,3.746227054925986,162.89774540000008,0.10527107371715813,9,6,0,0,0,3,3,2,59 day,16 day,-,-
False,False,False,13,-,617288,0x51Bd9cc40E397E43CbB35ADA738333785d482BF9,2.9637492776389784,45.57644000000006,0.0008726908595236066,2,2,0,0,0,1,1,1,55 day,55 day,-,-
False,False,False,14,-,623181,0x6c00A1C234Cd8c9142B3FdF8375543A9809B3f12,3.0008097020650055,19.500205400000002,0.10333409258654046,2,2,0,0,0,1,1,1,55 day,55 day,-,-
False,False,False,15,-,643544,0xC1F79Ed1dAD274885A617AE0CeeC172C7A1D931d,3.577741753965943,13.02184000000006,8.8024492811775e-05,2,2,0,0,0,1,1,1,36 day,36 day,-,-
False,False,False,16,-,342087,0xF35dA5E504a6463a2d632FAdDeA98Ad6017daDA8,5.057397517041351,253.77231824000006,0.10361692331754392,6,4,0,0,0,2,2,2,55 day,14 day,-,-
False,False,False,17,-,536316,0x5365E7ffAe830fEc28792d81299dB4bddcB84ff4,6.022643127303751,35.810060000000064,0.0008563888231061242,3,2,0,0,0,2,2,2,48 day,36 day,-,-
False,False,False,18,-,616193,0x26a9455CdA31332EF609B204648543a81266ae0C,21.94487865556065,32.5546,0.1812566856076362,2,2,0,0,0,1,1,1,56 day,48 day,-,-
False,False,False,19,-,633888,0xE27DD4D0a29273F48AA4691f81b29F996a9CEd3b,3.111683000204646,6.4783654,0.10262818222073954,2,2,0,0,0,1,1,1,50 day,50 day,-,-
False,False,False,20,-,465467,0xa70455fA71CC6f1eba5F6C3fF97d98E76bBA6c0b,2.3651342735138274,53.995066000000065,0.0004101893116637366,6,4,0,0,0,2,2,2,50 day,36 day,-,-
False,False,False,21,-,496536,0x55999E17fC84e266eB185158a897C009ca723329,2.6816432178567595,23.842168000000058,0.00020388291117851774,4,4,0,0,0,2,2,2,50 day,36 day,-,-
False,False,False,22,-,488938,0xF9A0806cff4b84D161DFbf4aE7Bb9b9110D50fd6,2.9948669872811693,113.9411000000001,0.00015727043529568802,4,2,0,0,0,2,2,2,51 day,37 day,-,-
False,False,False,23,-,627757,0x35607fE71F1F73ab21C23a381502fd4aE97Aea7a,25.809244881311994,65.10920000000006,8.80290285628065e-05,2,2,0,0,0,1,1,1,37 day,37 day,-,-
False,False,False,24,-,-,0xe17ef730812d6863E3519081D748DC830Af7Aeb5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
