POH,LXP,Paymaster,id,minitoolkitRank,trustlabsRank,address,balance,volume,fee,interactionCount,count_contract,bridge_count,bridge_volume_usd,nft_mint,days,weeks,months,firstTransactionDate,lastTransactionDate,zkliteInteractions,zkliteLastActivity
False,False,False,1,-,-,0xf5c9d989cffa66c26d1bfd0bf0a182f93e3510e4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,2,-,978078,0xe0200bdbb654aa691cab29a03a4cf81b41e843fe,9.229471244116981,1.5478344958986001,0.3570800335257242,3,2,0,0,0,1,1,1,13 day,3 day,-,-
False,False,False,3,-,1053751,0x6d2dd079238c3838e9b08885f470d35008d73938,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,4,-,1037149,0x71612015772bA710414B7E90D71eCDd894d9729f,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,5,-,1039319,0x999932D5866E0152EA5333ab72b7256965Bcb1c8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,6,-,1042413,0x7e25cb8adf2ceff43eb2096da220f452f47e7ff4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,7,-,-,0xbddCaDEB38c439EC6788BE4fd4edC25DA5eF5d2b,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,8,-,1063125,0xBAD01a04Cc9Ed7A4D8AF51BcaA7E9aCF26dc673B,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,9,-,1078634,0x252613Ecf3232dEe2c7d366EC404A5922619Ad8E,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,10,-,1077673,0x45e092142CE651d42778f0008D1D03e41194CD6f,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,11,-,815614,0xdbAeE7B46D722c196Db44fAAA355874E935F83Db,2.4311235915739413,110.926737,1.9595351528474974,6,3,0,0,0,1,1,1,3 day,3 day,-,-
False,False,False,12,-,395071,0x62439c30b3aa470C798f4b1fF7F1c6057541a5C0,2.706336592161128,13.574280000000009,3.1455425555040524,12,2,0,0,0,4,3,2,16 day,16 hour,-,-
False,False,False,13,-,-,0x51Bd9cc40E397E43CbB35ADA738333785d482BF9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,14,-,-,0x6c00A1C234Cd8c9142B3FdF8375543A9809B3f12,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,15,-,984241,0xC1F79Ed1dAD274885A617AE0CeeC172C7A1D931d,2.2301143142216824,4.3890172000000005,0.2546259081111176,3,2,0,0,0,1,1,1,14 day,14 day,-,-
False,False,False,16,-,1096156,0xF35dA5E504a6463a2d632FAdDeA98Ad6017daDA8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,17,-,1069381,0x5365E7ffAe830fEc28792d81299dB4bddcB84ff4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,18,-,1058901,0x26a9455CdA31332EF609B204648543a81266ae0C,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,19,-,1124827,0xE27DD4D0a29273F48AA4691f81b29F996a9CEd3b,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,20,-,1112831,0xa70455fA71CC6f1eba5F6C3fF97d98E76bBA6c0b,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,21,-,1111095,0x55999E17fC84e266eB185158a897C009ca723329,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,22,-,1120409,0xF9A0806cff4b84D161DFbf4aE7Bb9b9110D50fd6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,23,-,1058877,0x35607fE71F1F73ab21C23a381502fd4aE97Aea7a,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
False,False,False,24,-,-,0xe17ef730812d6863E3519081D748DC830Af7Aeb5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-,-
