POH,LXP,Paymaster,id,minitoolkitRank,trustlabsRank,address,balance,volume,fee,interactionCount,count_contract,bridge_count,bridge_volume_usd,nft_mint,days,weeks,months,firstTransactionDate,lastTransactionDate,zkliteInteractions,zkliteLastActivity
False,False,,1,2527468,1677266,0xf5c9d989cffa66c26d1bfd0bf0a182f93e3510e4,30.996104952121247,14413.53484489717,6.228753259990801,30,7,0,0.0,0,12,9,5,253 day,18 day,13,31 days ago
False,False,,2,3430870,1968459,0xe0200bdbb654aa691cab29a03a4cf81b41e843fe,24.39267367414019,2984.8291350949094,4.9254952091884014,16,3,0,0.0,4,5,5,5,260 day,13 day,7,42 days ago
False,False,,3,2843972,2238969,0x6d2dd079238c3838e9b08885f470d35008d73938,9.62031973122301,12924.892464845163,5.0403964274664,21,2,0,0.0,0,10,7,6,260 day,20 day,5,87 days ago
False,False,,4,4889299,3325936,0x71612015772bA710414B7E90D71eCDd894d9729f,122.70423878778314,1440.766462200028,2.26964981551,6,5,0,0.0,0,4,3,3,69 day,14 day,2,34 days ago
False,False,,5,5607164,5355063,0x999932D5866E0152EA5333ab72b7256965Bcb1c8,6.422891056390928,190.30803715023515,0.752367621544,2,2,0,0.0,0,2,1,1,70 day,68 day,-,-
False,False,,6,3263262,2882453,0x7e25cb8adf2ceff43eb2096da220f452f47e7ff4,12.782436517428684,6726.399205944234,5.016314296840001,14,5,0,0.0,0,6,5,4,124 day,43 day,2,93 days ago
False,False,,7,4455942,3459232,0xbddCaDEB38c439EC6788BE4fd4edC25DA5eF5d2b,2.9797203405057746,51.43659752005527,2.3000779566380003,14,7,0,0.0,2,5,5,3,64 day,19 hour,-,-
False,False,,8,4199785,3399045,0xBAD01a04Cc9Ed7A4D8AF51BcaA7E9aCF26dc673B,8.4874503932491,731.4333640262082,5.517842896014662,14,5,0,0.0,0,6,5,3,63 day,2 day,-,-
False,False,,9,5369620,4949190,0x252613Ecf3232dEe2c7d366EC404A5922619Ad8E,13.549459564212004,15.307600000000003,2.939211357544,5,3,0,0.0,0,1,1,1,63 day,63 day,-,-
False,False,,10,5384792,3870595,0x45e092142CE651d42778f0008D1D03e41194CD6f,18.523673609382474,314.26691500000004,1.709937218374,7,6,0,0.0,1,4,4,3,62 day,11 day,-,-
False,False,,11,4853760,3824697,0xdbAeE7B46D722c196Db44fAAA355874E935F83Db,24.685433528012382,329.06093740747724,1.5948044726460004,9,4,0,0.0,0,5,4,3,59 day,3 day,-,-
False,False,,12,5374897,3935044,0x62439c30b3aa470C798f4b1fF7F1c6057541a5C0,5.398151114905083,320.4799136000277,1.5542629063500002,8,6,0,0.0,0,5,4,2,59 day,16 day,-,-
False,False,,13,-,3899484,0x51Bd9cc40E397E43CbB35ADA738333785d482BF9,15.79206072770021,393.4421477739258,1.2933384351580002,7,4,0,0.0,0,3,3,2,57 day,14 day,-,-
False,False,,14,-,4356070,0x6c00A1C234Cd8c9142B3FdF8375543A9809B3f12,2.8594363023005,229.76708640916803,0.353474450406,4,2,0,0.0,0,2,2,2,55 day,14 day,-,-
False,False,,15,-,4415407,0xC1F79Ed1dAD274885A617AE0CeeC172C7A1D931d,1.6501837214555706,70.07819280002768,0.444932691588,3,2,0,0.0,0,3,3,3,57 day,14 day,-,-
False,False,,16,5574090,4136620,0xF35dA5E504a6463a2d632FAdDeA98Ad6017daDA8,10.94740489399993,702.6923164800829,0.8777261502239999,4,1,0,0.0,0,3,3,2,57 day,14 day,-,48 days ago
False,False,,17,-,3830437,0x5365E7ffAe830fEc28792d81299dB4bddcB84ff4,8.1562753045995,565.8373436272481,2.6806406594660004,10,7,0,0.0,0,4,4,3,56 day,14 day,-,-
False,False,,18,4858116,3725416,0x26a9455CdA31332EF609B204648543a81266ae0C,0.9186449913418561,284.8994072879352,2.226519963668,14,8,0,0.0,0,6,5,3,56 day,15 hour,-,48 days ago
False,False,,19,4438831,3978354,0xE27DD4D0a29273F48AA4691f81b29F996a9CEd3b,1.4445327292730417,102.1839343799669,1.8454276178800002,10,3,0,0.0,4,2,2,2,50 day,37 day,-,-
False,False,,20,5540446,5174537,0xa70455fA71CC6f1eba5F6C3fF97d98E76bBA6c0b,9.025157748543162,22.06406473089453,1.7251144741600002,8,2,0,0.0,4,1,1,1,50 day,50 day,-,-
False,False,,21,5933662,4343662,0x55999E17fC84e266eB185158a897C009ca723329,2.422745561024587,133.28633472002767,0.4292192871120001,2,0,0,0.0,0,2,2,2,50 day,36 day,-,-
False,False,,22,5858819,4392133,0xF9A0806cff4b84D161DFbf4aE7Bb9b9110D50fd6,2.5946774721884664,567.4374244000278,0.8726173918000001,5,1,0,0.0,0,2,1,1,51 day,50 day,-,-
False,False,,23,5917499,6209325,0x35607fE71F1F73ab21C23a381502fd4aE97Aea7a,6.9902979604965,30.6152,0.17122002174200002,2,2,0,0.0,0,1,1,1,20 day,20 day,-,-
False,False,,24,6298733,5341970,0xe17ef730812d6863E3519081D748DC830Af7Aeb5,2.056073009298626,11.241901440027625,0.23451243200000002,1,0,0,0.0,0,1,1,1,51 day,51 day,-,-
